id,text_snippet,labels
1,What s your pricing model for scaling up to 100 users?,"Pricing Discussion,Objection,Security"
2,We can t move forward without clarity on backup and recovery can you elaborate?,"Security,Objection,Competition"
3,Does your AI engine include built-in encryption measures?,Security
4,"You re saying this AI engine is robust, but I m hesitant it sounds too risky.",Objection
5,I d like a quote with no hidden fees. Does your pricing include AI engine support?,Pricing Discussion
6,"We ve been using CompetitorZ, but we re open to switching. Convince us.","Competition,Objection,Pricing Discussion"
7,How does your data pipeline compare to ProviderE's data pipeline?,"Competition,Security,Pricing Discussion"
8,"We re considering your solution, but CompanyC s discount is more attractive.","Pricing Discussion,Security,Competition"
9,"We ve been using ProviderE, but we re open to switching. Convince us.","Competition,Security,Objection"
10,Does your data pipeline include built-in firewalls measures?,Security
11,"Honestly, CompetitorZ seems better in terms of hidden fees. Can you explain why we should pick you?",Competition
12,I d like a quote with no hidden fees. Does your pricing include AI engine support?,Pricing Discussion
13,How does your predictive modeling compare to StartupD's predictive modeling?,Competition
14,Does your predictive modeling include built-in compliance measures?,"Security,Competition"
15,What s your quote for scaling up to 100 users?,"Pricing Discussion,Security,Competition"
16,What s your cost structure for scaling up to 100 users?,Pricing Discussion
17,Is there a monthly fees if we commit to a longer-term contract?,Pricing Discussion
18,Can you guarantee firewalls for our compliance team?,"Security,Pricing Discussion,Objection"
19,"Honestly, I m not sure your recommendation system is as strong as StartupD's.","Objection,Competition"
20,The budget is a deal-breaker for us unless you can adjust it.,Objection
21,We re considering CompetitorX because their custom integrations sounds more advanced.,"Competition,Pricing Discussion,Security"
22,"We re considering your solution, but VendorA s discount is more attractive.","Pricing Discussion,Competition,Objection"
23,"Honestly, EnterpriseF seems better in terms of quote. Can you explain why we should pick you?","Competition,Objection"
24,We re concerned about your GDPR compliance can you clarify?,"Objection,Competition,Security"
25,"You re saying this workflow automation is robust, but I m hesitant it sounds too risky.","Objection,Competition,Pricing Discussion"
26,We re considering VendorA because their predictive modeling sounds more advanced.,"Competition,Security"
27,"Honestly, EnterpriseF seems better in terms of hidden fees. Can you explain why we should pick you?",Competition
28,Can you guarantee SOC2 certified for our compliance team?,"Security,Objection,Pricing Discussion"
29,Does your analytics include built-in compliance measures?,Security
30,"We re considering your solution, but CompanyC s renewal cost is more attractive.","Pricing Discussion,Competition,Security"
31,We re concerned about your firewalls can you clarify?,"Objection,Security,Pricing Discussion"
32,We re considering CompetitorX because their workflow automation sounds more advanced.,Competition
33,I d like a quote with no hidden fees. Does your pricing include workflow automation support?,Pricing Discussion
34,I don t see why we should pick your product over StartupD s.,"Objection,Pricing Discussion,Security"
35,We re considering StartupD because their AI engine sounds more advanced.,"Competition,Security,Pricing Discussion"
36,I read about CompetitorX having issues with compliance. What s your policy?,Security
